zip,commune,province,rank
6970,TENNEVILLE,Luxembourg,183.0
2830,WILLEBROEK,Anvers,382.0
9130,BEVEREN-WAAS,Flandre-Orientale,316.0
9800,DEINZE,Flandre-Orientale,453.0
7131,BINCHE,Hainaut,33.0
3830,WELLEN,Limbourg,388.0
7370,DOUR,Hainaut,1.0
8980,ZONNEBEKE,Flandre-Occidentale,196.0
8660,DE PANNE,Flandre-Occidentale,118.0
6717,ATTERT,Luxembourg,534.0
6870,SAINT-HUBERT,Luxembourg,30.0
7784,COMINES-WARNETON,Hainaut,503.0
1852,GRIMBERGEN,Brabant Flamand,436.0
6533,THUIN,Hainaut,106.0
3052,OUD-HEVERLEE,Brabant Flamand,557.0
7170,MANAGE,Hainaut,49.0
4990,LIERNEUX,Liège,491.0
1000,BRUXELLES,Bruxelles (19 communes),494.0
7061,SOIGNIES,Hainaut,67.0
1450,CHASTRE,Brabant Wallon,469.0
7340,COLFONTAINE,Hainaut,5.0
2100,ANTWERPEN,Anvers,334.0
8951,HEUVELLAND,Flandre-Occidentale,55.0
8380,BRUGGE,Flandre-Occidentale,467.0
7190,ECAUSSINNES,Hainaut,124.0
4120,NEUPRÉ,Liège,457.0
1980,ZEMST,Brabant Flamand,521.0
5101,NAMUR,Namur,258.0
8587,ESPIERRES-HELCHIN,Flandre-Occidentale,274.0
3798,FOURONS,Limbourg,480.0
5600,PHILIPPEVILLE,Namur,39.0
4400,FLÉMALLE,Liège,81.0
2220,HEIST-OP-DEN-BERG,Anvers,450.0
5360,HAMOIS,Namur,413.0
4040,HERSTAL,Liège,93.0
5563,HOUYET,Namur,129.0
8581,AVELGEM,Flandre-Occidentale,105.0
4141,SPRIMONT,Liège,333.0
6852,PALISEUL,Luxembourg,131.0
6030,CHARLEROI,Hainaut,19.0
6747,SAINT-LÉGER,Luxembourg,425.0
8957,MESSINES,Flandre-Occidentale,51.0
7332,SAINT-GHISLAIN,Hainaut,36.0
6983,LA ROCHE-EN-ARDENNE,Luxembourg,70.0
2382,RAVELS,Anvers,547.0
2580,PUTTE,Anvers,417.0
2870,PUURS-SINT-AMANDS,Anvers,389.0
7712,MOUSCRON,Hainaut,172.0
5560,HOUYET,Namur,129.0
5354,OHEY,Namur,223.0
3293,DIEST,Brabant Flamand,348.0
8851,ARDOOIE,Flandre-Occidentale,375.0
7800,ATH,Hainaut,104.0
6681,SAINTE-ODE,Luxembourg,65.0
4250,GEER,Liège,226.0
2460,KASTERLEE,Anvers,520.0
8460,OUDENBURG,Flandre-Occidentale,228.0
4140,SPRIMONT,Liège,333.0
7750,MONT-DE-L'ENCLUS,Hainaut,308.0
6762,VIRTON,Luxembourg,110.0
7030,MONS,Hainaut,40.0
5521,ONHAYE,Namur,133.0
6560,ERQUELINNES,Hainaut,15.0
4163,ANTHISNES,Liège,42.0
6536,THUIN,Hainaut,106.0
6833,BOUILLON,Luxembourg,44.0
4451,JUPRELLE,Liège,418.0
4570,MARCHIN,Liège,167.0
2550,KONTICH,Anvers,466.0
6600,BASTOGNE,Luxembourg,166.0
8690,ALVERINGEM,Flandre-Occidentale,402.0
6791,AUBANGE,Luxembourg,233.0
8630,VEURNE,Flandre-Occidentale,430.0
5640,METTET,Namur,139.0
1440,BRAINE-LE-CHÂTEAU,Brabant Wallon,438.0
9450,HAALTERT,Flandre-Orientale,279.0
8792,WAREGEM,Flandre-Occidentale,297.0
9042,GENT,Flandre-Orientale,496.0
3290,DIEST,Brabant Flamand,348.0
4690,BASSENGE,Liège,119.0
2910,ESSEN,Anvers,271.0
4631,SOUMAGNE,Liège,205.0
3790,FOURONS,Limbourg,480.0
5150,FLOREFFE,Namur,182.0
1755,GOOIK,Brabant Flamand,501.0
6720,HABAY,Luxembourg,355.0
1130,BRUXELLES,Bruxelles (19 communes),494.0
5541,HASTIÈRE,Namur,14.0
5543,HASTIÈRE,Namur,14.0
3530,HOUTHALEN-HELCHTEREN,Limbourg,203.0
4650,HERVE,Liège,431.0
4671,BLÉGNY,Liège,374.0
8770,INGELMUNSTER,Flandre-Occidentale,327.0
8520,KUURNE,Flandre-Occidentale,135.0
6900,MARCHE-EN-FAMENNE,Luxembourg,85.0
9030,GENT,Flandre-Orientale,496.0
1350,ORP-JAUCHE,Brabant Wallon,218.0
2450,MEERHOUT,Anvers,329.0
7822,ATH,Hainaut,104.0
8760,MEULEBEKE,Flandre-Occidentale,174.0
7141,MORLANWELZ,Hainaut,34.0
4608,DALHEM,Liège,377.0
8620,NIEUWPOORT,Flandre-Occidentale,364.0
6851,PALISEUL,Luxembourg,131.0
3212,LUBBEEK,Brabant Flamand,476.0
7600,PÉRUWELZ,Hainaut,57.0
8970,POPERINGE,Flandre-Occidentale,163.0
5660,COUVIN,Namur,53.0
6532,THUIN,Hainaut,106.0
4790,BURG-REULAND,Liège,88.0
7623,BRUNEHAUT,Hainaut,441.0
1760,ROOSDAAL,Brabant Flamand,439.0
6730,TINTIGNY,Luxembourg,302.0
8700,TIELT,Flandre-Occidentale,287.0
6832,BOUILLON,Luxembourg,44.0
5630,CERFONTAINE,Namur,17.0
6640,VAUX-SUR-SÛRE,Luxembourg,143.0
9980,SINT-LAUREINS,Flandre-Orientale,221.0
9667,HOREBEKE,Flandre-Orientale,536.0
2940,STABROEK,Anvers,263.0
7618,RUMES,Hainaut,56.0
1495,VILLERS-LA-VILLE,Brabant Wallon,429.0
2431,LAAKDAL,Anvers,305.0
8902,IEPER,Flandre-Occidentale,265.0
6224,FLEURUS,Hainaut,35.0
1410,WATERLOO,Brabant Wallon,558.0
4860,PEPINSTER,Liège,69.0
2040,ANTWERPEN,Anvers,334.0
1731,ASSE,Brabant Flamand,341.0
8904,IEPER,Flandre-Occidentale,265.0
3742,BILZEN,Limbourg,178.0
3670,OUDSBERGEN,Limbourg,156.0
1820,STEENOKKERZEEL,Brabant Flamand,543.0
9506,GERAARDSBERGEN,Flandre-Orientale,210.0
7866,LESSINES,Hainaut,112.0
4252,GEER,Liège,226.0
4102,SERAING,Liège,26.0
3900,PELT,Limbourg,432.0
4219,WASSEIGES,Liège,234.0
7532,TOURNAI,Hainaut,281.0
8691,ALVERINGEM,Flandre-Occidentale,402.0
6690,VIELSALM,Luxembourg,92.0
9961,ASSENEDE,Flandre-Orientale,324.0
4654,HERVE,Liège,431.0
4890,THIMISTER-CLERMONT,Liège,353.0
8890,MOORSLEDE,Flandre-Occidentale,440.0
3590,DIEPENBEEK,Limbourg,219.0
7191,ECAUSSINNES,Hainaut,124.0
3630,MAASMECHELEN,Limbourg,269.0
9810,NAZARETH,Flandre-Orientale,424.0
7743,PECQ,Hainaut,278.0
5500,DINANT,Namur,138.0
1190,FOREST,Bruxelles (19 communes),473.0
6440,FROIDCHAPELLE,Hainaut,4.0
4030,LIÈGE,Liège,83.0
6792,AUBANGE,Luxembourg,233.0
1500,HALLE,Brabant Flamand,399.0
3730,HOESELT,Limbourg,94.0
7050,JURBISE,Hainaut,332.0
7622,BRUNEHAUT,Hainaut,441.0
1502,HALLE,Brabant Flamand,399.0
6210,LES BONS VILLERS,Hainaut,286.0
6830,BOUILLON,Luxembourg,44.0
4600,VISÉ,Liège,150.0
